date,description,debit,credit,balance,transaction_type,reference
01/01/2026,SALARY CREDIT,0.0,67171.61,80853.61,CREDIT,TXN000001
03/01/2026,ELECTRICITY BILL PAYMENT,2205.07,0.0,78648.54,DEBIT,TXN000002
05/01/2026,UBER RIDE,366.23,0.0,78282.31,DEBIT,TXN000003
06/01/2026,REFUND CREDIT,0.0,2643.89,80926.2,CREDIT,TXN000004
07/01/2026,SALARY CREDIT,0.0,79054.11,159980.31,CREDIT,TXN000005
08/01/2026,NETFLIX SUBSCRIPTION,394.03,0.0,159586.28,DEBIT,TXN000006
09/01/2026,NETFLIX SUBSCRIPTION,425.09,0.0,159161.19,DEBIT,TXN000007
14/01/2026,REFUND CREDIT,0.0,2753.95,161915.14,CREDIT,TXN000008
18/01/2026,ELECTRICITY BILL PAYMENT,2822.08,0.0,159093.06,DEBIT,TXN000009
20/01/2026,INTEREST CREDIT,0.0,443.34,159536.4,CREDIT,TXN000010
21/01/2026,UBER RIDE,287.4,0.0,159249.0,DEBIT,TXN000011
22/01/2026,METRO CARD RECHARGE,971.17,0.0,158277.83,DEBIT,TXN000012
23/01/2026,RENT PAYMENT,23049.88,0.0,135227.95,DEBIT,TXN000013
25/01/2026,ELECTRICITY BILL PAYMENT,2545.17,0.0,132682.78,DEBIT,TXN000014
26/01/2026,INTEREST CREDIT,0.0,272.53,132955.31,CREDIT,TXN000015
01/02/2026,SALARY CREDIT,0.0,69592.18,100383.18,CREDIT,TXN000016
03/02/2026,INTEREST CREDIT,0.0,614.5,100997.68,CREDIT,TXN000017
04/02/2026,UPI GROCERY BIGBASKET,1260.45,0.0,99737.23,DEBIT,TXN000018
05/02/2026,FREELANCE CREDIT,0.0,9121.79,108859.02,CREDIT,TXN000019
06/02/2026,NETFLIX SUBSCRIPTION,334.4,0.0,108524.62,DEBIT,TXN000020
10/02/2026,UPI RESTAURANT DINNER,1007.96,0.0,107516.66,DEBIT,TXN000021
11/02/2026,UPI RESTAURANT DINNER,1369.61,0.0,106147.05,DEBIT,TXN000022
13/02/2026,NETFLIX SUBSCRIPTION,785.75,0.0,105361.3,DEBIT,TXN000023
14/02/2026,ATM CASH WITHDRAWAL,5675.16,0.0,99686.14,DEBIT,TXN000024
16/02/2026,REFUND CREDIT,0.0,2021.51,101707.65,CREDIT,TXN000025
17/02/2026,INTEREST CREDIT,0.0,290.22,101997.87,CREDIT,TXN000026
19/02/2026,BOOKMYSHOW MOVIE,964.1,0.0,101033.77,DEBIT,TXN000027
24/02/2026,UBER RIDE,441.09,0.0,100592.68,DEBIT,TXN000028
26/02/2026,SALARY CREDIT,0.0,88182.11,188774.79,CREDIT,TXN000029
28/02/2026,BOOKMYSHOW MOVIE,1034.36,0.0,187740.43,DEBIT,TXN000030
01/03/2026,SALARY CREDIT,0.0,77926.47,91116.47,CREDIT,TXN000031
